,missing_count,missing_pct
charging_rate_kw,63,5.023923444976076
distance_driven_since_last_charge_km,61,4.864433811802233
battery_capacity_kwh,0,0.0
charging_station_id,0,0.0
user_id,0,0.0
vehicle_model,0,0.0
charging_start_time,0,0.0
charging_station_location,0,0.0
energy_consumed_kwh,0,0.0
charging_end_time,0,0.0
charging_cost_usd,0,0.0
time_of_day,0,0.0
day_of_week,0,0.0
charging_duration_hours,0,0.0
state_of_charge_start_pct,0,0.0
state_of_charge_end_pct,0,0.0
temperature_degc,0,0.0
vehicle_age_years,0,0.0
charger_type,0,0.0
user_type,0,0.0
start_hour,0,0.0
charging_duration_minutes,0,0.0
